,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0," Start
 THEORY
"," 08:00
", ," 10:00
", ," 1200
", , ," 14:00
"," 15:00
"," 16:00
"," 17:00
"," 1&00
"," 18:51
"," 19:01
"
1, , , ," 10:50
", ," 1250
", , ," 14:50
"," 15:50
"," 1650
"," 1750
"," 1550
"," 19:00
"," 19:50
"
2," Start
 ", , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
4," THEORY
 "," A1-BMATi02L-
TH-T7202-ALLO3
"," Fi-BSTS102P-S5-
PRP124-ALLO3
"," o1
"," TB1-BPHY101L-
TH-PRP105-
ALLO3
"," TGi
", ," Lunch
"," 5
", ," 02
"," TB2
"," TG2
", , 
5," 4B
"," u
", , , ," E-y
"," 6
"," Lunch
"," L31-BCSE1029-
LO-S)T41S-ALLO3
"," L32-BCSE1029-
LO-SJT419-ALLO3
", , ," L35-BECE101P-
LO-TTS03-
ALLOS
"," U36-BECE101P-
LO-1TS02-
ALLO3
", 
6," THEORY
 TUE
"," B1-BPHY10iL-
TH-PRP105-
ALLOS
"," G1-BECE101L-
TH-PREGI0-
ALLOZ
"," E1-BENG101L-
TH-TT302-ALLO3
", ," TAAT-
BMATIO2ZL-TH-
TF202-ALLO3
", ," Lunch
", ," G2
"," E2
", , , ," v4
"
7," LAB
", , , ," Lio
"," ui
"," Liz
"," Lunch
", , , , ," 4
", , 
8," THEORY
 "," C1-8CSE102L-
TH-SJT614-ALLO3
"," AI-BMAT102L-
TH-7T302-ALLO3
"," F1-BSTS102P-SS-
PRO124-ALLOZ
", , , ," Lunch
", ," 5
", , , , ," V5
"
9," LAB
"," ui3
"," u14
"," Lis
"," Li6
", ," Lig
"," Lunch
"," L43-BPHY101P-
LO-TT420-ALLO3
"," LAL-BPHY101P-
LO-TT420-ALLO3
", , , , , 
10," THEORY
 "," o1
"," 81-BPHYIO1L-
TH-PRP105-
ALLOZ
"," G1-BECE10iL-
TH-PRPG10-
ALLOS
", ," Tcc1
", ," Lunch
"," b2
", ," G2
", ," TOC2
", , 
11," LAB
"," u19
", , ," L22
", , , ," us
", ," si
"," L52
"," L53
"," 54
", 
12," THEORY
 "," E1-BENGI01L-
TH-17202-ALLO3
"," C1-BCSE102L-
TH-S)T614-ALLOZ
"," TAI-BMATIO2L-
TH-TT302-ALLO3
"," TF1-BSTS1029-
55-PRP124-
ALLO3
"," TDi
", , , , ," TA2
", ," TDD2
", , 
13," LAB
"," 25
", , , , , ," Lunch
"," L55-BENG101P-
LO-SJT119-ALLO3
"," L56-BENG101P-
LO-SJT119-ALLO3
", , ," 53-8CSE102P-
LO-5)T419-
ALLOS
"," L60-8CSE102P-
LO-5jT419-
ALLOZ
", 
14," THEORY
 SAT
", ," x11
"," X12
", , , , ," x21
", ," Y21
"," wat
", , , 
15," LAB
"," u71
"," 72
"," 73
"," 74
"," us
"," L76
", ," u7
"," us
"," ug
"," Lao
"," Lat
"," La2
", 
16," THEORY
 "," vio
", ," Y12
", , , , ," y21
", ," x21
", , , , 
17, , , ," Las
"," La6
", , ," Lunch
", , ," ui
"," L92
"," L933
"," L934
", 
